2023-02-10 19:51:08,i will never shut up about txt,เห็นด้วยกับเขาทุกคำ แผ่นดินไหวที่ตุรกีเป็นเรื่องใหญ่ระดับนานาชาติแล้ว ที่ไอดอลไม่ออกมาใช้เสียงของตัวเองจะว่าเป็นเพราะไม่รู้หรืออิกนอร์ เขาในฐานะที่เป็นคนประสบภัยจะรู้สึกผิดหวังกับวงที่ตัวเองติ่งก็ไม่แปลก ยิ่งเป็นคนที่อยู่เบื้องหลังแอคที่ทุ่มเทโปรโมทวงขนาดนั้น การติ่ง=ปิดตาข้างนึง
2023-02-10 14:39:17,,รวมช่องทางบริจาคเงิน – สิ่งของ ช่วยเหตุแผ่นดินไหว “ตุรกี” https://t.co/C3bn13K2TT
2023-02-10 14:38:52,"Bangkok, Thailand","แรงงานชาวจังหวัดชัยภูมิที่เสียชีวิตในเหตุการณ์แผ่นดินไหวที่ประเทศตุรกี ครอบครัวขอความช่วยเหลือนำศพกลับมาประกอบพิธีที่บ้านเกิด

📌 อ่านต่อ https://t.co/fBDlCJtrle #ThaiPBS https://t.co/sjz9sGQbda"
2023-02-10 14:39:17,,รวมช่องทางบริจาคเงิน – สิ่งของ ช่วยเหตุแผ่นดินไหว “ตุรกี” https://t.co/C3bn13K2TT
2023-02-10 14:38:52,"Bangkok, Thailand","แรงงานชาวจังหวัดชัยภูมิที่เสียชีวิตในเหตุการณ์แผ่นดินไหวที่ประเทศตุรกี ครอบครัวขอความช่วยเหลือนำศพกลับมาประกอบพิธีที่บ้านเกิด

📌 อ่านต่อ https://t.co/fBDlCJtrle #ThaiPBS https://t.co/sjz9sGQbda"
2023-02-10 12:04:10,,"@Pethploy007 อาคารเก่า น้ำหนักเยอะ อาคารสมัยใหม่ พื้นไม่มีคานพื้นหนาพอจะรับแรงทางข้าง  
กทม.ถ้ามีแผ่นดินไหวแรง อาคารที่จะยืน stand alone จะเปนตึกสูงนี่แหละ  ตึกแถวโครงสร้างหลวมๆราคาถูก จะราบหมด"
2023-02-10 12:04:10,,"@Pethploy007 อาคารเก่า น้ำหนักเยอะ อาคารสมัยใหม่ พื้นไม่มีคานพื้นหนาพอจะรับแรงทางข้าง  
กทม.ถ้ามีแผ่นดินไหวแรง อาคารที่จะยืน stand alone จะเปนตึกสูงนี่แหละ  ตึกแถวโครงสร้างหลวมๆราคาถูก จะราบหมด"
2023-02-10 06:56:56,"jjp, g7 ! ; 인.무.갓 (2014 - now)",อมกกก พี่แจบอมก็บริจาคให้แผ่นดินไหวเหมือนกันนน แง้ ปมนนองของหนู
2023-02-10 06:56:44,,"12.00 น. ทีม USAR Thailand พร้อมด้วยสุนัขกู้ภัย เดินทางถึงสนามบินอิสตันบูลแล้ว รอต่อเครื่องไปยังสนามบินAnada โดยจะไปพร้อมกับทีมกู้ภ้ยจากจีน และทีมสุนัขกู้ภัย k9 จากฝรั่งเศส 
🙏🏻 กัปตัน-แอร์โฮสเตสสายการบินตุรกี ได้ยกมือไหว้ขอบคุณทีมงานคนไทยด้วย ในน้ำใจข้ามพรมแดน
#แผ่นดินไหว #ตุรกี https://t.co/He2YGAELwr"
2023-02-10 06:56:56,"jjp, g7 ! ; 인.무.갓 (2014 - now)",อมกกก พี่แจบอมก็บริจาคให้แผ่นดินไหวเหมือนกันนน แง้ ปมนนองของหนู
2023-02-10 06:56:44,,"12.00 น. ทีม USAR Thailand พร้อมด้วยสุนัขกู้ภัย เดินทางถึงสนามบินอิสตันบูลแล้ว รอต่อเครื่องไปยังสนามบินAnada โดยจะไปพร้อมกับทีมกู้ภ้ยจากจีน และทีมสุนัขกู้ภัย k9 จากฝรั่งเศส 
🙏🏻 กัปตัน-แอร์โฮสเตสสายการบินตุรกี ได้ยกมือไหว้ขอบคุณทีมงานคนไทยด้วย ในน้ำใจข้ามพรมแดน
#แผ่นดินไหว #ตุรกี https://t.co/He2YGAELwr"
2023-02-09 20:36:36,,"✅แตกจริง แตกไม่หยุด โoนแทบไม่ทัu 👇 💥สล็อต 💥ยิงปaา💥คาสิโu แจกไม่ยั้ง 
👉🏻 https://t.co/4GYQGyI0IX
📲 [@936auffo] มี @ ด้วยนะจ๊ะ 😊
#สล็อต #สล็อตพีจี  #สล็อตค่ายดัง #เกมสล็อต #เกมส์     #แผ่นดินไหว   #chaelisa #สาวถ้ำ #แคนดี้ #สล็อตpg #RebornRichEp16 #ทุนน้อย  #ใส่นัวแฟมิลี่ https://t.co/w3CtKJLo9j"
2023-02-09 20:33:18,Thailand,สโมสรฮาทายสปอร์ ได้รับผลกระทบอย่างหนักจากแผ่นดินไหว จนไม่สามารถเล่นในฤดูกาลนี้ได้อีก ปัจจุบันรั้งอันดับที่ 14 ตารางคะแนน และจะไม่ตกชั้นยังคงเล่นในลีกสูงสุดตุรกีต่อไปในฤดูกาลหน้า https://t.co/4QmzNinaW1
2023-02-09 20:36:36,,"✅แตกจริง แตกไม่หยุด โoนแทบไม่ทัu 👇 💥สล็อต 💥ยิงปaา💥คาสิโu แจกไม่ยั้ง 
👉🏻 https://t.co/4GYQGyI0IX
📲 [@936auffo] มี @ ด้วยนะจ๊ะ 😊
#สล็อต #สล็อตพีจี  #สล็อตค่ายดัง #เกมสล็อต #เกมส์     #แผ่นดินไหว   #chaelisa #สาวถ้ำ #แคนดี้ #สล็อตpg #RebornRichEp16 #ทุนน้อย  #ใส่นัวแฟมิลี่ https://t.co/w3CtKJLo9j"
